UNICODIGO,NOMBRE_VACUNA,moda
001618,BNT162B2 PFIZER,2021-01-15T00:00:00.000000
047843,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000665,BNT162B2 PFIZER,2021-01-01T00:00:00.000000
001285,BNT162B2 PFIZER,2021-01-17T00:00:00.000000
000760,CORONAVAC SINOVAC,2021-01-11T00:00:00.000000
001606,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
001187,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
002026,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
001621,CORONAVAC SINOVAC,2021-01-22T00:00:00.000000
001252,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000511,BNT162B2 PFIZER,2021-01-20T00:00:00.000000
001911,CANSINO,2021-01-24T00:00:00.000000
000958,ASTRAZENECA,2021-01-15T00:00:00.000000
001893,BNT162B2 PFIZER,2021-01-31T00:00:00.000000
002101,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
001251,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
001612,BNT162B2 PFIZER,2021-01-29T00:00:00.000000
001853,BNT162B2 PFIZER,2021-01-07T00:00:00.000000
001706,BNT162B2 PFIZER,2021-01-23T00:00:00.000000
001688,CORONAVAC SINOVAC,2021-01-29T00:00:00.000000
000759,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000278,CORONAVAC SINOVAC,2021-01-07T00:00:00.000000
001387,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
002794,CANSINO,2021-01-08T00:00:00.000000
002841,BNT162B2 PFIZER,2021-01-16T00:00:00.000000
002778,CORONAVAC SINOVAC,2021-01-10T00:00:00.000000
001973,CORONAVAC SINOVAC,2021-01-23T00:00:00.000000
002869,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001463,CORONAVAC SINOVAC,2021-01-14T00:00:00.000000
002798,BNT162B2 PFIZER,2021-01-03T00:00:00.000000
000988,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
048800,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
002063,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001884,BNT162B2 PFIZER,2021-01-31T00:00:00.000000
