valor_original,valor_homologado
CUBANO/A,CUBANO
BOLIVIANO/A,BOLIVIANO
MEXICANO/A,MEXICANO
URUGUAYO/A,URUGUAYO
PAQUISTANI,PAQUISTANIANO
IRANI,IRANIANO
ARMENIA,ARMENIO
TURCA,TURCO
CABOVERDIANA,CABOVERDIANO
VATICANO/NA,VATICANO
BAREINI,BAREINIANO
UGANDES/SA,UGANDES
POLACO/CA,POLACO
BULGARO/RA,BULGARO
KENIANO/NA,KENIANO
MACEDONIA,MACEDONIO
MALGACHE,MALGACHE
ETIOPE,ETIOPE
BURKINES,BURKINES
ESTONIA,ESTONIO
TUNECINO/NA,TUNECINO
BELICEÑO/ÑA,BELICEÑO
CHECO/CA,CHECO
GUYANES/ESA,GUYANES
CANADIENSE,CANADIENSE
SUIZO/ZA,SUIZO
ISRAELI,ISRAELI
KUWAITI,KUWAITI
HINDU; INDIO/DIA,INDIO
MONGOL/LA,MONGOL
PARAGUAYA,PARAGUAYO
JAPONES/SA,JAPONES
FINLANDES,FINLANDES
CONGOLEÑA,CONGOLES
TAILANDESA,TAILANDES
ARGELINA,ARGELINO
NEPALES,NEPALES
ESLOVENO/NA,ESLOVENO
TOGOLES/SA,TOGOLES
ALBANES/SA,ALBANES
LETON,LETON
JAMAIQUINA,JAMAIQUINO
ERITREA,ERITREO
LIBERIANA,LIBERIANO
GILBRALTAREÑO/ÑA,GIBRALTAREÑO
INDONES/SA,INDONESIO
ZIMBABUENSE,ZIMBABUENSE
TUNECINA,TUNECINO
ARABE,ARABE
BISSAUGUINEANA,BISSAUGUINEANO
CHIPRIOTA,CHIPRIOTA
GABONES,GABONES
FINLANDES/SA,FINLANDES
SUECO/CA,SUECO
LIBANES/SA,LIBANES
CAMBOYANO/NA,CAMBOYANO
MALTES/SA,MALTES
DE LAS ISLAS VIRGENES,DE LAS ISLAS VIRGENES
PUERTORRIQUENO,PUERTORRIQUEÑO
ECUATORIANO/A,ECUATORIANO
ESPAÑOL/LA,ESPAÑOL
ALEMAN/NA,ALEMAN
ANDORRANA,ANDORRANO
LIBANESA,LIBANES
LITUANA,LITUANO
SUDAFRICANA,SUDAFRICANO
NAMIBIANA,NAMIBIANO
VIETNAMITA,VIETNAMITA
TAYIKA,TAYIKO
SANVICENTINA,SANVICENTINO
GUINEANA,GUINEANO
KENIANA,KENIANO
DOMINIQUES,DOMINIQUES
KIRGUIS,KIRGUIS
NEOZELANDES/SA,NEOZELLANDES
MALIENSE,MALI
SIERRALEONES,SIERRALEONÉS
GRIEGO/GA,GRIEGO
MARSHALES,MARSHALES
MAURICIANA,MAURICIANO
ESCOCESA,ESCOCES
ZAMBIANA,ZAMBIANO
ECUATOGUINEANO/NA,ECUATOGUINEANO
RUANDESA,RUANDES
NIGERINO/NA,NIGERINO
TOGOLESA,TOGOLES
ESTONIO/NIA,ESTONIO
GUAYANES,GUYANES
TURCOMANO/NA; TURKMENO/NA,TURCOMANO
LUXEMBURGUES/SA,LUXEMBURGUES
LETON/NA,LETON
SENEGALESA,SENEGALES
MAURITANO/NA,MAURITANO
ZAMBIANO/NA,ZAMBIANO
CEILANES/SA; CEILANDES; ESRILANQUES/SA,ESRILANQUES
COLOMBIANO/A,COLOMBIANO
ESTADOUNIDENSE,ESTADOUNIDENSE
PANAMEÑO/ÑA,PANAMEÑO
FRANCES/SA,FRANCES
BELGA,BELGA
AUSTRALIANA,AUSTRALIANO
EGIPCIO/CIA,EGIPCIO
RUMANO/NA,RUMANO
APATRIDA,APATRIDA
IRAQUI,IRAQUI
BANGLADESI,BANGLADESI
VANUATUENSE,VANUATUENSE
NO DEFINIDO,NO DEFINIDO
UGANDESA,UGANDES
PAKISTANI/PAQUISTANI,PAQUISTANI
TANZANO/NA,TANZANO
GRANADINO/A,GRANADINO
GEORGIANO/NA,GEORGIANO
BENINES,BENINES
PUERTORRIQUEÑO,PUERTORRIQUEÑO
LAOSIANA,LAOSIANO
KOSOVAR,KOSOVAR
ESLOVACA,ESLOVACO
TRINITENSE,TRINITENSE
MALTES,MALTES
MONTENEGRINO,MONTENEGRINO
SAHARAUI,SAHARAUI
REUNIONES,REUNIONES
KIRQUIS,KIRQUIS
VENEZOLANO/A,VENEZOLANO
ARGENTINO/NA,ARGENTINO
COSTARRICENSE,COSTARRICENSE
ITALIANO/NA,ITALIANO
HOLANDES/SA,HOLANDES
HONDUREÑO/A,HONDUREÑO
AUSTRIACA,AUSTRIACO
DOMINIQUESA,DOMINIQUES
OTRO,OTRO
GHANES,GHANES
MALASIA,MALASIO
CAMBOYANA,CAMBOYANO
JORDANO/A,JORDANO
CAMERUNES/SA,CAMERUNES
GUYANES,GUYANES
AZERBAIYANA,AZERBAIYANO
MACEDONIO/NIA,MACEDONIO
MOLDAVO/VA,MOLDAVO
ISLANDES/SA,ISLANDES
BAHAMEÑA,BAHAMEÑO
SERBIO/A,SERBIO
BARBADENSE,BARBADENSE
NORCOREANO/NA,NORCOREANO
NEOZELANDES,NEOZELLANDES
TANZANA,TANZANO
ARGELINO/NA,ARGELINO
BOSNIOHERZEGOVINA,BOSNIO
CONGOLEÑO/ÑA,CONGOLES
GHANES/SA,GHANES
SAUDITA,SAUDITA
SUDAFRICANO/NA,SUDAFRICANO
SOVIETICA,SOVIETICO
ARMENIO/NIA,ARMENIO
TUVALUANO/NA,TUVALUANO
YUGOSLAVA,YUGOSLAVO
CHANDIANO/NA,CHANDIANO
POLINESIO,POLINESIO
CHILENO/A,CHILENO
SALVADOREÑO/ÑA,SALVADOREÑO
POLACA,POLACO
NICARAGÜENSE,NICARAGUENSE
UCRANIANO/NA,UCRANIANO
GUATEMALTECO/A,GUATEMALTECO
GRIEGA,GRIEGO
NIGERIANO /NA,NIGERIANO
NO TIENE REGISTRAD,NO TIENE REGISTRADO
