valor_original,valor_homologado
SARAGURO,INDÍGENA
AWA,INDÍGENA
WARANKA,INDÍGENA
NO SABE/NO RESPONDE, NO RESPONDE
KAYAMBI,INDÍGENA
OTRO/A, NO RESPONDE
OTAVALO,INDÍGENA
MESTIZO/A,MESTIZO
MULATO/A,MESTIZO 
AFROECUATORIANO/AFRODESCENDIENTE,AFROECUATORIANO
BLANCO/A,BLANCO
MONTUBIO/A,MONTUBIO
NO APLICA,NO APLICA
TSACHILA,MONTUBIO
PASTOS,INDÍGENA
KITUKARA,INDÍGENA
CHIBULEO,INDÍGENA
PANZALÉO,INDÍGENA
HUANCAVILCA,INDÍGENA
TOMABELA,INDÍGENA
KAÑARI,INDÍGENA
KISAPINCHA,KISAPINCHA       
INDÍGENA,INDÍGENA
PURUHÁ,INDÍGENA
KARANKI,INDÍGENA
COFÁN,INDÍGENA
NEGRO/A,AFROECUATORIANO
SALASAKA,SALASAKA
NATABUELA,INDÍGENA
PALTAS,INDÍGENA
