valor_original,valor_homologado
OMICROM,PFIZER
SINOPHARM,SINOPHARM
SPIKEVAX 6MESES A 4AÑOS,SPIKEVAX
SPUTNIK V,SPUTNIK V
SPIKEVAX MAYOR DE 5 AÑOS,SPIKEVAX
REFUERZO 2,DESCONOCE
SOBERANA 02,SOBERANA 02
HB ADULTO,NO APLICA
SPIKEVAX 6 MESES CON INMUNOSUPRESIÓN,SPIKEVAX
SOBERANA 02 PLUS,SOBERANA 02 PLUS
OTRA VACUNA,OTRA VACUNA
MODERNA EXTERIOR,SPIKEVAX
CORONAVAC SINOVAC,SINOVAC
CANSINO,CANSINO
JANSSEN,JANSSEN
SPIKEVAX CON HISTORIAL VACUNAL,SPIKEVAX
ASTRAZENECA,ASTRAZENECA
BNT162B2 PFIZER,PFIZER
SPIKEVAX 3 A 11 AÑOS CON HISTORIAL VACUNAL CRÓNICOS,SPIKEVAX
ABDALA CIGB66,ABDALA CIGB66
,DESCONOCE
COMIRNATY BIVALENTE,PFIZER
REFUERZO 1,DESCONOCE
,DESCONOCE
