Fecha,Anio_SE,Semana_Epidemiologica,SE_Formato,Anio_SE_SE,Nombre_Dia
1989-01-01,1988,52,52,1988-52,Sunday
1989-01-02,1989,1,01,1989-01,Monday
1989-01-03,1989,1,01,1989-01,Tuesday
1989-01-04,1989,1,01,1989-01,Wednesday
1989-01-05,1989,1,01,1989-01,Thursday
1989-01-06,1989,1,01,1989-01,Friday
1989-01-07,1989,1,01,1989-01,Saturday
1989-01-08,1989,1,01,1989-01,Sunday
1989-01-09,1989,2,02,1989-02,Monday
1989-01-10,1989,2,02,1989-02,Tuesday
1989-01-11,1989,2,02,1989-02,Wednesday
1989-01-12,1989,2,02,1989-02,Thursday
1989-01-13,1989,2,02,1989-02,Friday
1989-01-14,1989,2,02,1989-02,Saturday
1989-01-15,1989,2,02,1989-02,Sunday
1989-01-16,1989,3,03,1989-03,Monday
1989-01-17,1989,3,03,1989-03,Tuesday
1989-01-18,1989,3,03,1989-03,Wednesday
1989-01-19,1989,3,03,1989-03,Thursday
1989-01-20,1989,3,03,1989-03,Friday
1989-01-21,1989,3,03,1989-03,Saturday
1989-01-22,1989,3,03,1989-03,Sunday
1989-01-23,1989,4,04,1989-04,Monday
1989-01-24,1989,4,04,1989-04,Tuesday
1989-01-25,1989,4,04,1989-04,Wednesday
1989-01-26,1989,4,04,1989-04,Thursday
1989-01-27,1989,4,04,1989-04,Friday
1989-01-28,1989,4,04,1989-04,Saturday
1989-01-29,1989,4,04,1989-04,Sunday
1989-01-30,1989,5,05,1989-05,Monday
1989-01-31,1989,5,05,1989-05,Tuesday
1989-02-01,1989,5,05,1989-05,Wednesday
1989-02-02,1989,5,05,1989-05,Thursday
1989-02-03,1989,5,05,1989-05,Friday
1989-02-04,1989,5,05,1989-05,Saturday
1989-02-05,1989,5,05,1989-05,Sunday
1989-02-06,1989,6,06,1989-06,Monday
1989-02-07,1989,6,06,1989-06,Tuesday
1989-02-08,1989,6,06,1989-06,Wednesday
1989-02-09,1989,6,06,1989-06,Thursday
1989-02-10,1989,6,06,1989-06,Friday
1989-02-11,1989,6,06,1989-06,Saturday
1989-02-12,1989,6,06,1989-06,Sunday
1989-02-13,1989,7,07,1989-07,Monday
1989-02-14,1989,7,07,1989-07,Tuesday
1989-02-15,1989,7,07,1989-07,Wednesday
1989-02-16,1989,7,07,1989-07,Thursday
1989-02-17,1989,7,07,1989-07,Friday
1989-02-18,1989,7,07,1989-07,Saturday
1989-02-19,1989,7,07,1989-07,Sunday
1989-02-20,1989,8,08,1989-08,Monday
1989-02-21,1989,8,08,1989-08,Tuesday
1989-02-22,1989,8,08,1989-08,Wednesday
1989-02-23,1989,8,08,1989-08,Thursday
1989-02-24,1989,8,08,1989-08,Friday
1989-02-25,1989,8,08,1989-08,Saturday
1989-02-26,1989,8,08,1989-08,Sunday
1989-02-27,1989,9,09,1989-09,Monday
1989-02-28,1989,9,09,1989-09,Tuesday
1989-03-01,1989,9,09,1989-09,Wednesday
1989-03-02,1989,9,09,1989-09,Thursday
1989-03-03,1989,9,09,1989-09,Friday
1989-03-04,1989,9,09,1989-09,Saturday
1989-03-05,1989,9,09,1989-09,Sunday
1989-03-06,1989,10,10,1989-10,Monday
1989-03-07,1989,10,10,1989-10,Tuesday
1989-03-08,1989,10,10,1989-10,Wednesday
1989-03-09,1989,10,10,1989-10,Thursday
1989-03-10,1989,10,10,1989-10,Friday
1989-03-11,1989,10,10,1989-10,Saturday
1989-03-12,1989,10,10,1989-10,Sunday
1989-03-13,1989,11,11,1989-11,Monday
1989-03-14,1989,11,11,1989-11,Tuesday
1989-03-15,1989,11,11,1989-11,Wednesday
1989-03-16,1989,11,11,1989-11,Thursday
1989-03-17,1989,11,11,1989-11,Friday
1989-03-18,1989,11,11,1989-11,Saturday
1989-03-19,1989,11,11,1989-11,Sunday
1989-03-20,1989,12,12,1989-12,Monday
1989-03-21,1989,12,12,1989-12,Tuesday
1989-03-22,1989,12,12,1989-12,Wednesday
1989-03-23,1989,12,12,1989-12,Thursday
1989-03-24,1989,12,12,1989-12,Friday
1989-03-25,1989,12,12,1989-12,Saturday
